STATE,DISTRICT,QUARTER,LEVEL
AP,Krishna,2017-07-01,4.049459459
AP,Krishna,2017-10-01,4.357432432
AP,Krishna,2018-01-01,5.256756757
AP,Krishna,2018-04-01,7.083243243
AP,Krishna,2018-07-01,3.805675676
AP,Krishna,2018-10-01,4.529054054
AP,Kurnool,1996-01-01,5.532837838
AP,Kurnool,1996-04-01,7.004594595
AP,Kurnool,1996-07-01,5.348648649
AP,Kurnool,1996-10-01,3.166891892
AP,Kurnool,1997-01-01,4.439577465
AP,Kurnool,1997-04-01,6.354788732
AP,Kurnool,1997-07-01,5.672816901
AP,Kurnool,1997-10-01,4.998309859
AP,Kurnool,1998-01-01,5.083846154
AP,Kurnool,1998-04-01,6.697076923
AP,Kurnool,1998-07-01,4.308307692
AP,Kurnool,1998-10-01,2.793230769
AP,Kurnool,1999-01-01,4.393898305
AP,Kurnool,1999-04-01,5.974915254
AP,Kurnool,1999-07-01,5.334915254
AP,Kurnool,1999-10-01,5.209830508
AP,Kurnool,2000-01-01,5.736842105
AP,Kurnool,2000-04-01,6.705789474
AP,Kurnool,2000-07-01,3.456315789
AP,Kurnool,2000-10-01,3.210175439
AP,Kurnool,2001-01-01,3.512222222
AP,Kurnool,2001-04-01,6.038703704
AP,Kurnool,2001-07-01,6.078703704
AP,Kurnool,2001-10-01,2.98537037
AP,Kurnool,2002-01-01,3.920925926
AP,Kurnool,2002-04-01,5.995740741
AP,Kurnool,2002-07-01,5.671296296
AP,Kurnool,2002-10-01,5.392592593
AP,Kurnool,2003-01-01,5.684150943
AP,Kurnool,2003-04-01,7.775660377
AP,Kurnool,2003-07-01,6.008867925
AP,Kurnool,2003-10-01,5.239245283
AP,Kurnool,2004-01-01,5.853962264
AP,Kurnool,2004-04-01,7.57
AP,Kurnool,2004-07-01,4.766792453
AP,Kurnool,2004-10-01,5.549245283
AP,Kurnool,2005-01-01,10.58175439
AP,Kurnool,2005-04-01,12.13623947
AP,Kurnool,2005-07-01,7.461754386
AP,Kurnool,2005-10-01,6.103421053
AP,Kurnool,2006-01-01,4.941363636
AP,Kurnool,2006-04-01,6.320681818
AP,Kurnool,2006-07-01,5.395
AP,Kurnool,2006-10-01,4.928181818
AP,Kurnool,2007-01-01,6.81125
AP,Kurnool,2007-04-01,7.1865
AP,Kurnool,2007-07-01,2.98075
AP,Kurnool,2007-10-01,2.98075
AP,Kurnool,2008-01-01,4.024594595
AP,Kurnool,2008-04-01,5.684054054
AP,Kurnool,2008-07-01,4.301891892
AP,Kurnool,2008-10-01,4.067837838
AP,Kurnool,2009-01-01,4.01
AP,Kurnool,2009-04-01,6.355789474
AP,Kurnool,2009-07-01,5.871578947
AP,Kurnool,2009-10-01,3.436052632
AP,Kurnool,2010-01-01,4.374864865
AP,Kurnool,2010-04-01,4.792702703
AP,Kurnool,2010-07-01,3.724324324
AP,Kurnool,2010-10-01,3.171891892
AP,Kurnool,2011-01-01,3.603243243
AP,Kurnool,2011-04-01,5.621351351
AP,Kurnool,2011-07-01,3.775135135
AP,Kurnool,2011-10-01,4.199459459
AP,Kurnool,2012-01-01,4.640277778
AP,Kurnool,2012-04-01,6.454444444
AP,Kurnool,2012-07-01,3.95
AP,Kurnool,2012-10-01,6.088888889
AP,Kurnool,2013-01-01,5.690163934
AP,Kurnool,2013-04-01,5.968688525
AP,Kurnool,2013-07-01,3.95
AP,Kurnool,2013-10-01,4.708196721
AP,Kurnool,2014-01-01,4.883898305
AP,Kurnool,2014-04-01,6.159661017
AP,Kurnool,2014-07-01,5.131864407
AP,Kurnool,2014-10-01,4.460847458
AP,Kurnool,2015-01-01,5.150185185
AP,Kurnool,2015-04-01,7.100185185
AP,Kurnool,2015-07-01,7.881111111
AP,Kurnool,2015-10-01,5.765555556
AP,Kurnool,2016-01-01,6.128461538
AP,Kurnool,2016-04-01,8.616923077
AP,Kurnool,2016-07-01,6.129615385
AP,Kurnool,2016-10-01,5.544871795
AP,Kurnool,2017-01-01,7.110175439
AP,Kurnool,2017-04-01,8.771929825
AP,Kurnool,2017-07-01,7.805614035
AP,Kurnool,2017-10-01,4.536315789
AP,Kurnool,2018-01-01,5.189454545
AP,Kurnool,2018-04-01,7.17
AP,Kurnool,2018-07-01,4.120909091
AP,Kurnool,2018-10-01,7.147272727
AP,Prakasam,1996-01-01,3.71826087
AP,Prakasam,1996-04-01,5.73826087
AP,Prakasam,1996-07-01,4.759782609
AP,Prakasam,1996-10-01,2.327608696
AP,Prakasam,1997-01-01,2.751777778
AP,Prakasam,1997-04-01,4.687333333
AP,Prakasam,1997-07-01,5.250222222
