STATE,DISTRICT,QUARTER,LEVEL
Andhra Pradesh,Krishna,01-07-2000,2.478823529
Andhra Pradesh,Krishna,01-10-2000,3.171470588
Andhra Pradesh,Krishna,01-01-2001,4.2575
Andhra Pradesh,Krishna,01-04-2001,6.475625
Andhra Pradesh,Krishna,01-07-2001,4.55875
Andhra Pradesh,Krishna,01-10-2001,3.84
Andhra Pradesh,Krishna,01-01-2002,4.361666667
Andhra Pradesh,Krishna,01-04-2002,5.247333333
Andhra Pradesh,Krishna,01-07-2002,5.221333333
Andhra Pradesh,Krishna,01-10-2002,4.320333333
Andhra Pradesh,Krishna,01-01-2003,5.1325
Andhra Pradesh,Krishna,01-04-2003,7.923571429
Andhra Pradesh,Krishna,01-07-2003,5.5225
Andhra Pradesh,Krishna,01-10-2003,4.721071429
Andhra Pradesh,Krishna,01-01-2004,4.433461538
Andhra Pradesh,Krishna,01-04-2004,7.336538462
Andhra Pradesh,Krishna,01-07-2004,3.985384615
Andhra Pradesh,Krishna,01-10-2004,4.135384615
Andhra Pradesh,Krishna,01-01-2005,9.330163934
Andhra Pradesh,Krishna,01-04-2005,10.48969344
Andhra Pradesh,Krishna,01-07-2005,5.74034918
Andhra Pradesh,Krishna,01-10-2005,4.895245902
Andhra Pradesh,Krishna,01-01-2006,6.6935
Andhra Pradesh,Krishna,01-04-2006,8.072021667
Andhra Pradesh,Krishna,01-07-2006,5.684355
Andhra Pradesh,Krishna,01-10-2006,5.583666667
Andhra Pradesh,Krishna,01-01-2007,6.638245614
Andhra Pradesh,Krishna,01-04-2007,8.041075439
Andhra Pradesh,Krishna,01-07-2007,5.534935088
Andhra Pradesh,Krishna,01-10-2007,4.914561404
Andhra Pradesh,Krishna,01-01-2008,6.612711864
Andhra Pradesh,Krishna,01-04-2008,7.629683051
Andhra Pradesh,Krishna,01-07-2008,4.562225424
Andhra Pradesh,Krishna,01-10-2008,4.871016949
Andhra Pradesh,Krishna,01-01-2009,6.265423729
Andhra Pradesh,Krishna,01-04-2009,6.353898305
Andhra Pradesh,Krishna,01-07-2009,4.031016949
